word,form,definition,etymology,example,origin
anathema,noun,"Something or someone that one vehemently dislikes; a formal curse by a pope or a council of the Church, excommunicating a person or denouncing a doctrine.","From Greek anathema ""a thing devoted"", in later Greek ""a thing accursed"".",,Greek
pugilist,noun,"A boxer, especially a professional one.","From Latin pugil ""boxer"", related to pugnus ""fist"".",,Latin
philistine,noun,"A person who is hostile or indifferent to culture and the arts, or who has no understanding of them.","From Philistine, a member of an ancient people of southern Palestine, regarded in the Bible as hostile to the Israelites.",,Other
blithe,adjective,Showing a casual and cheerful indifference considered to be callous or improper; happy or joyous.,"From Old English bliþe ""joyful, kind, gentle, pleasant"", of Germanic origin.",,Old English
palimpsest,noun,A manuscript or piece of writing material on which the original writing has been effaced to make room for later writing but of which traces remain.,"From Greek palimpsēstos, from palin ""again"" + psēstos ""rubbed smooth"".",,Greek
auspicious,adjective,Conducive to success; favorable.,"From Latin auspicium ""divination by observing birds"", from auspex ""bird seer"".",,Latin
stygian,adjective,"Relating to the River Styx; extremely dark, gloomy, or forbidding.","From Latin Stygius, from Greek Stugios, from Stux, Stug- ""Styx"" (a river of the underworld).",,Greek
enmity,noun,The state or feeling of being actively opposed or hostile to someone or something.,"From Old French enemite, from Latin inimicitas, from inimicus ""enemy"".",,Latin
antipathy,noun,A deep-seated feeling of dislike; aversion.,"From Greek antipatheia, from anti- ""against"" + pathos ""feeling"".",,Greek
propitious,adjective,Giving or indicating a good chance of success; favorable.,"From Latin propitius ""favorable"".",,Latin
beatific,adjective,Showing or producing exalted joy or blessedness.,"From Latin beatificus, from beatus ""blessed"" + -ficus ""-making"".",,Latin
idiosyncrasy,noun,A distinctive or peculiar feature or characteristic of a place or thing; a peculiarity of constitution or temperament.,"From Greek idiosunkrasia, from idios ""own, private"" + sunkrasis ""mixture, temperament"".",,Greek
portent,noun,"A sign or warning that something, especially something momentous or calamitous, is likely to happen.","From Latin portentum ""omen, token"", from portendere ""to foretell"".",,Latin
inure,verb,"Accustom (someone) to something, especially something unpleasant.","From Middle English inure ""to come into use"", from in- + ure ""use, practice"".",,Other
lacuna,noun,An unfilled space or interval; a gap; a missing portion in a book or manuscript.,"From Latin lacuna ""pool, gap"", from lacus ""pool"".",,Latin
indigent,adjective,Poor; needy.,"From Latin indigent- ""lacking"", from the verb indigere, from indu- ""within"" + egere ""to need"".",,Latin
usurp,verb,Take (a position of power or importance) illegally or by force.,"From Latin usurpare ""to take possession of without legal claim"".",,Latin
sentient,adjective,Able to perceive or feel things.,"From Latin sentient- ""feeling"", from the verb sentire.",,Latin
affective,adjective,"Relating to moods, feelings, and attitudes.","From Latin affect- ""influenced, affected"", from the verb afficere, from ad- ""to"" + facere ""to make"".",,Latin
truancy,noun,The action of staying away from school without good reason; absenteeism.,"From truant, from Old French truant ""beggar, rogue"", probably from Celtic.",,French
replete,adjective,Filled or well-supplied with something.,"From Latin repletus ""filled up"", past participle of replere, from re- ""again"" + plere ""to fill"".",,Latin
facile,adjective,(Especially of a theory or argument) appearing neat and comprehensive only by ignoring the true complexities of an issue; superficial.,"From Latin facilis ""easy"", from facere ""to make"".",,Latin
rarefied,adjective,"(Of air, especially that at high altitudes) of lower pressure than usual; thin; (of a subject or environment) only for or understood by a small number of people with specialized knowledge.","From Latin rarus ""thin, sparse"" + facere ""to make"".",,Latin
piquancy,noun,The quality of being pleasantly stimulating or exciting.,"From French piquant ""pricking"", present participle of piquer ""to prick"".",,French
austere,adjective,"Severe or strict in manner, attitude, or appearance; having no comforts or luxuries; harsh or ascetic.","From Latin austerus, from Greek austēros ""harsh, severe"".",,Greek
inveigle,verb,Persuade (someone) to do something by means of deception or flattery.,"From French aveugler ""to blind"", from Old French, from a- (from Latin ad- ""to"") + aveugle ""blind"".",,French
aplomb,noun,"Self-confidence or assurance, especially when in a demanding situation.","From French à plomb ""according to a plumb line"", from à ""to"" + plomb ""lead weight"".",,French
pariah,noun,An outcast; a person who is rejected from society or home.,"From Tamil paraiyar, plural of paraiyan ""drummer"" (as the name of a caste of low status).",,Tamil
somatic,adjective,"Relating to the body, especially as distinct from the mind.","From Greek sōmatikos, from sōma ""body"".",,Greek
lachrymose,adjective,Tearful or given to weeping; inducing tears.,"From Latin lacrimosus, from lacrima ""tear"".",,Latin
deign,verb,Do something that one considers to be beneath one's dignity.,"From Old French deignier, from Latin dignari ""to consider worthy"", from dignus ""worthy"".",,Latin
pantheon,noun,"All the gods of a people or religion collectively; a temple dedicated to all the gods; a group of particularly respected, famous, or important people.","From Greek pantheion ""temple of all the gods"", from pan ""all"" + theion ""of the gods"".",,Greek
dissemble,verb,Conceal or disguise one's true feelings or beliefs.,"From Latin dissimulare ""to disguise or conceal"", from dis- ""apart"" + simulare ""to copy, represent"".",,Latin
genuflect,verb,"Lower one's body briefly by bending one knee to the ground, typically in worship or as a sign of respect; show deference or servility.","From Latin genuflectere, from genu ""knee"" + flectere ""to bend"".",,Latin
remonstrate,verb,Make a forcefully reproachful protest.,"From medieval Latin remonstratus, past participle of remonstrare, from re- (expressing opposition) + monstrare ""to show"".",,Latin
bifurcate,verb,Divide into two branches or forks.,"From late Latin bifurcatus, past participle of bifurcare, from bi- ""two"" + furca ""fork"".",,Latin
salacious,adjective,Having or conveying undue or inappropriate interest in sexual matters.,"From Latin salax, salac- ""lustful"", from salire ""to leap"".",,Latin
indolent,adjective,Wanting to avoid activity or exertion; lazy.,"From Latin indolent-, from in- ""not"" + dolere ""suffer pain"".",,Latin
alacrity,noun,Brisk and cheerful readiness.,"From Latin alacritas, from alacer ""brisk, lively"".",,Latin
amorphous,adjective,Without a clearly defined shape or form.,"From Greek amorphos ""shapeless"", from a- ""without"" + morphē ""form"".",,Greek
bereft,adjective,"Deprived of or lacking something, especially a non-material asset.","Past participle of bereave, from Old English bereafian, from be- + reafian ""to rob, plunder"".",,Old English
cajole,verb,Persuade (someone) to do something by sustained coaxing or flattery.,"From French cajoler, perhaps from Picard ""to chatter like a jay"", from gajole ""cage"".",,French
cavort,verb,Jump or dance around excitedly.,"Perhaps from curvet, from Italian corvetta ""a leap"", from Latin curvus ""curved"".",,Other
commensurate,adjective,Corresponding in size or degree; in proportion.,"From Latin commensuratus, from com- ""together"" + mensuratus ""measured"".",,Latin
compunction,noun,A feeling of guilt or moral scruple that prevents or follows the doing of something bad.,"From Latin compunctio(n-), from the verb compungere, from com- ""together"" + pungere ""to prick"".",,Latin
eclectic,adjective,"Deriving ideas, style, or taste from a broad and diverse range of sources.","From Greek eklektikos, from eklektos ""selected"", from eklegein ""to select"", from ek ""out"" + legein ""to choose"".",,Greek
diaphanous,adjective,"(Especially of fabric) light, delicate, and translucent.","From medieval Latin diaphanus, from Greek diaphanēs ""transparent"", from dia ""through"" + phainein ""to show"".",,Greek
duress,noun,"Threats, violence, constraints, or other action brought to bear on someone to do something against their will or better judgment.","From Old French duresse, from Latin duritia ""hardness"", from durus ""hard"".",,Latin
equivocal,adjective,Open to more than one interpretation; ambiguous.,"From late Latin aequivocus, from aequi- ""equally"" + vocare ""to call"".",,Latin
execrable,adjective,Extremely bad or unpleasant.,"From Latin execrabilis, from execrari ""to curse"", from ex- ""out"" + sacrare ""to consecrate"".",,Latin
extol,verb,Praise enthusiastically.,"From Latin extollere ""to raise up, elevate"", from ex- ""up"" + tollere ""to raise"".",,Latin
impetuous,adjective,Acting or done quickly and without thought or care.,"From late Latin impetuosus, from impetus ""attack"".",,Latin
inchoate,adjective,Just begun and so not fully formed or developed; rudimentary.,"From Latin inchoatus, past participle of inchoare ""to begin"".",,Latin
inexorable,adjective,Impossible to stop or prevent.,"From Latin inexorabilis, from in- ""not"" + exorabilis ""able to be entreated"", from exorare ""to prevail upon"".",,Latin
insidious,adjective,"Proceeding in a gradual, subtle way, but with harmful effects.","From Latin insidiosus, from insidiae ""ambush"", from insidere ""to lie in wait for"", from in- ""in"" + sedere ""to sit"".",,Latin
ostracize,verb,Exclude (someone) from a society or group.,"From Greek ostrakizein, from ostrakon ""tile, potsherd"" (used as a voting tablet).",,Greek
potentate,noun,"A monarch or ruler, especially an autocratic one.","From late Latin potentatus ""political power"", from Latin potens, potent- ""powerful"".",,Latin
presage,verb,"Be a sign or warning of (an imminent event, typically an unwelcome one).","From Latin praesagium, from praesagire ""to forebode"", from prae ""before"" + sagire ""perceive keenly"".",,Latin
puerile,adjective,Childishly silly and trivial.,"From Latin puerilis, from puer ""child"".",,Latin
pugnacious,adjective,"Eager or quick to argue, quarrel, or fight.","From Latin pugnax, pugnac- ""combative"", from pugnare ""to fight"".",,Latin
relegate,verb,Assign an inferior rank or position to.,"From Latin relegatus, past participle of relegare ""to send away, banish"", from re- ""back"" + legare ""to send"".",,Latin
staid,adjective,"Sedate, respectable, and unadventurous.","Past participle of archaic stay ""to support"", from Middle English steyen, from Old French estayer, from estaye ""a prop"".",,French
vestigial,adjective,Forming a very small remnant of something that was once much larger or more noticeable.,"From Latin vestigium ""footprint, trace"".",,Latin
vitriol,noun,Bitter criticism or malice.,"From Latin vitriolum ""sulfuric acid"", from vitrum ""glass"".",,Latin
