word,Seed,form,definition,definition_2,etymology,example,origin
harangue,Rare,noun,A lengthy and aggressive speech.,To deliver a pompous or aggressive speech,"From Italian aringa, from aringare ‘to speak in public’.",He delivered a harangue about the evils of the media.,Italian
harbor,Uncommon,noun,A place on the coast where vessels may find shelter.,"A place on the coast where vessels may find shelter, especially one protected from rough water by piers, jetties, and other artificial structures.","Old English herebeorg 'shelter, lodging.'",The ship sailed into the harbor.,Old English
haughty,Uncommon,,Arrogantly superior and disdainful.,,"From Old French haut 'high', from Latin altus, with -y suffix.",,French/Latin
hectic,Uncommon,,Full of incessant or frantic activity.,,"From Greek hektikos 'habitual', from hexis 'habit, state of mind or body'.",,Greek
heft,Rare,,Weight.,,,,
hegemony,Rare,noun,"leadership or dominance, especially by one country or social group over others. ","Leadership or dominance, especially by one country or social group over others.","From Greek hegemonia ""leadership, rule"", from hegemon ""leader"".",The country sought to establish hegemony over the entire region.,Greek
hirsute,Exotic,,Hairy.,,"From Latin hirsutus 'rough, shaggy'.",,Latin
histrionic,Rare, adjective ,overly theatrical or melodramatic in character or style                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Deliberately affected or theatrical,"From Latin histrionicus ""pertaining to an actor"", from histrio ""actor"".",,Latin
histrionic,Exotic,adjective,Excessively theatrical or dramatic in character or style.,Deliberately affected or theatrical,From Latin histrionicus ‘pertaining to actors’.,His histrionic outburst shocked everyone.,Latin
huddle,Uncommon,verb,Crowd together; nestle closely.,,Origin unknown.,The players huddled before the game.,Other
humble,Uncommon,adjective,Having or showing a modest or low estimate of one's importance.,Having or showing a modest or low estimate of one's own importance.,"From Latin humilis 'low, lowly.'",She remained humble despite her success.,Latin
husk,Rare,,The dry outer covering of some fruits or seeds.,,,,
hypochondriac,Rare,,A person who is abnormally anxious about their health.,,"From Greek hypokhondriakos, from hypokhondria 'the abdomen', where melancholy was thought to originate.",,Greek
iconoclast,Rare,noun,A person who attacks cherished beliefs or institutions.,One who attacks cherished beliefs or institutions,"From Greek eikonoklastēs, from eikōn ‘image’ + klan ‘to break’.",The artist was known as an iconoclast in the art world.,Greek
idiom,Rare,,A group of words established by usage as having a meaning not deducible from those of the individual words.,,"From French idiome, or via late Latin from Greek idiōma 'private property, peculiar phraseology', from idiousthai 'make one's own', from idios 'own, private'.",,Greek
idiosyncrasy,Rare,noun,A distinctive or peculiar feature or characteristic of a place or thing; a peculiarity of constitution or temperament.,A mode of behavior or way of thought peculiar to an individual.,"From Greek idiosunkrasia, from idios ""own, private"" + sunkrasis ""mixture, temperament"".",His habit of alphabetizing his spices was just one of his idiosyncrasies.,Greek
idle,Uncommon,adjective,Not active or in use.,Without purpose or effect; pointless.,"Old English īdel 'empty, useless.'",The factory stood idle for months.,Old English
ignominious,Rare,adjective,Deserving or causing public disgrace or shame.,,"From Latin ignominiosus, from ignominia ‘disgrace’.",It was an ignominious end to his career.,Latin
impecunious,Exotic,adjective,Chronically lacking in money; habitually without funds,Chronically lacking financial resources; poor.,"From Latin impecuniosus, from in- ‘not’ + pecunia ‘money’.",He was a gifted but impecunious painter.,Latin
impetuous,Rare,adjective,Acting or done quickly and without thought or care.,,"From late Latin impetuosus, from impetus ""attack"".",The impetuous decision to quit his job left him unemployed for months.,Latin
inchoate,Exotic,adjective,Just begun and so not fully formed or developed; rudimentary.,Just begun and not fully formed; rudimentary.,"From Latin inchoatus, past participle of inchoare ""to begin"".",His inchoate ideas needed more development before presentation.,Latin
incontinent,Rare,,Having no or insufficient voluntary control over urination or defecation.,,,,
indigent,Rare,adjective,Poor; needy.,,"From Latin indigent- ""lacking"", from the verb indigere, from indu- ""within"" + egere ""to need"".",The clinic provided free care to indigent patients.,Latin
indolence,Exotic,noun,Avoidance of activity or exertion; laziness.,,"From Latin indolentia ""freedom from pain"", from in- ""not"" + dolere ""suffer pain"".",Summer indolence overtook the students during vacation.,Latin
indolent,Exotic,adjective,Wanting to avoid activity or exertion; lazy.,Habitually lazy or inactive; averse to exertion.,"From Latin indolent-, from in- ""not"" + dolere ""suffer pain"".",The indolent student rarely completed assignments on time.,Latin
indomitable,Rare,adjective,Impossible to subdue or defeat.,,"From Latin indomitabilis, from in- ""not"" + domitare ""to tame"".",Her indomitable spirit helped her overcome numerous setbacks.,Latin
ineffable,Rare,adjective,Too great or extreme to be expressed or described in words.,Too sacred to be uttered; forbidden to be spoken,"From Latin ineffabilis, from in- ‘not’ + effabilis ‘able to be expressed’.",The beauty of the sunset was ineffable.,Latin
inexorable,Rare,adjective,Impossible to stop or prevent.,,"From Latin inexorabilis, from in- ""not"" + exorabilis ""able to be entreated"", from exorare ""to prevail upon"".",The inexorable advance of technology transformed the industry.,Latin
infidel,Rare,,A person who does not believe in religion or who adheres to a religion other than one's own.,,,,
inimical,Rare, adjective ,Tending to obstruct or harm; unfriendly; hostile.,Tending to obstruct or harm.,"From Latin inimicalis, from inimicus ""enemy"", from in- ""not"" + amicus ""friend"".",The dictator's policies were inimical to democratic principles.,Latin
inlet,Uncommon,noun,"A small arm of the sea, a lake, or a river.",,From Old English inlæt 'entrance.',The boat sailed into the inlet.,Old English
inscrutable,Rare,adjective,Impossible to understand or interpret.,,"From Latin inscrutabilis, from in- ""not"" + scrutari ""to examine"".",His inscrutable expression gave no hint of his thoughts.,Latin
insidious,Rare,adjective,"Proceeding in a gradual, subtle way, but with harmful effects.",,"From Latin insidiosus, from insidiae ""ambush"", from insidere ""to lie in wait for"", from in- ""in"" + sedere ""to sit"".",The insidious spread of misinformation undermined public trust.,Latin
interstitial,Rare,,"Relating to or situated in the small, narrow spaces between tissues or parts of an organ.",,"From Latin interstitium, from inter- 'between' + sistere 'to stand'.",,Latin
intransigent,Rare,adjective,Unwilling or refusing to change one's views or to agree about something.,Refusing to compromise or agree; inflexible.,"From French intransigeant, from Spanish intransigente.",The negotiations broke down due to both sides being intransigent.,French
inure,Rare,verb,"Accustom (someone) to something, especially something unpleasant.","To accustom (someone) to something, especially something unpleasant.","From Middle English inure ""to come into use"", from in- + ure ""use, practice"".",Years of hardship had inured him to discomfort.,Other
inveigle,Exotic,verb,Persuade (someone) to do something by means of deception or flattery.,"To win over by wiles, flattery, or artful talk.","From French aveugler ""to blind"", from Old French, from a- (from Latin ad- ""to"") + aveugle ""blind"".",He tried to inveigle his way into the exclusive club.,French
inveterate,Rare,adjective,"having a particular habit, activity, or interest that is long-established and unlikely to change ","Having a particular habit, activity, or interest that is long-established and unlikely to change.","From Latin inveteratus ""of long standing"", past participle of inveterare ""to make old"", from in- ""in"" + vetus ""old"".",The inveterate gambler could not resist placing one more bet.,Latin
irascible,Rare, adjective ,"having or showing a tendency to be easily angered, very irritable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Having or showing a tendency to be easily angered.,"From Latin irascibilis, from irasci ""to be angry"", from ira ""anger"".",The irascible old man shouted at children who stepped on his lawn.,Latin
ishtmus,Rare,,"A narrow strip of land with sea on either side, forming a link between two larger areas of land.",,"From Latin isthmus, from Greek isthmos 'neck of land'.",,Greek
jingoism,Rare,noun,"Extreme patriotism, especially in the form of aggressive or warlike foreign policy.",,"From jingo, a word used in a popular song supporting British policy during the Russo-Turkish War (1877–78).",The newspaper's jingoism during wartime discouraged any criticism of military actions.,Other
jolly,Uncommon,adjective,Happy and cheerful.,,From Old French jolif 'festive.',He was in a jolly mood.,French
jolt,Uncommon,verb,Push or shake abruptly and roughly.,Push or shake (someone or something) abruptly and roughly.,Origin unknown.,The bus jolted to a stop.,Other
juggle,Uncommon,verb,Continuously toss into the air and catch.,,From Old French jogler 'to entertain.',He can juggle three balls at once.,French
juxtapose,Rare,verb,To place or deal with close together for contrasting effect.,,"From French juxtaposer, from Latin juxta ‘next’ + French poser ‘to place’.",The exhibition juxtaposes modern art with classical sculpture.,Latin
kaleidoscope,Rare,noun,A constantly changing pattern or sequence of objects or elements.,A succession of changing phases or actions,From Greek kalos ‘beautiful’ + eidos ‘form’ + skopein ‘to look at’.,The city lights formed a kaleidoscope of colors.,Greek
keen,Uncommon,adjective,Having or showing eagerness or enthusiasm.,,"Old English cene 'bold, brave.'",She has a keen interest in science.,Old English
kindle,Uncommon,verb,Light or set on fire.,,Old Norse kynda 'to kindle.',She kindled a fire in the hearth.,Other
kismet,Exotic,noun,Destiny; fate.,,"From Turkish, from Arabic qisma ‘division, portion, fate’.",It was kismet that they met that day.,Arabic
knack,Uncommon,noun,An acquired or natural skill at performing a task.,An acquired or natural skill at doing something.,From Middle English knak 'sharp sound.',She has a knack for painting.,Other
knot,Uncommon,noun,"A fastening made by tying a piece of string, rope, or something similar.",,Old English cnotta 'knot.',She tied a knot in the rope.,Old English
lachrymose,Exotic,adjective,Tearful or given to weeping; inducing tears.,Given to shedding tears; mournful.,"From Latin lacrimosus, from lacrima ""tear"".",The lachrymose widow could not be consoled at the funeral.,Latin
laconic,Exotic,adjective,Using very few words.,Using minimal words; terse.,"From Greek Lakōnikos, referring to the Spartans, who were known for their terse speech.",Her laconic reply left everyone in the room puzzled.,Greek
lacuna,Exotic,noun,An unfilled space or interval; a gap; a missing portion in a book or manuscript.,"A gap or missing part in a manuscript, argument, or series.","From Latin lacuna ""pool, gap"", from lacus ""pool"".",The manuscript contained a significant lacuna where pages were missing.,Latin
lambent,Exotic,adjective,"glowing, gleaming or flickering with a soft radiance",Dealing lightly and gracefully with a subject; brilliantly playful.,"From Latin lambent-’licking’, from the verb lambere",The lambent flames cast a gentle glow over the room.,Latin
lassitude,Exotic,noun,A state of physical or mental weariness; lack of energy.,,"From Latin lassitudo, from lassus ""tired"".",Summer heat induced a state of lassitude among the workers.,Latin
latch,Uncommon,verb,Fasten (a door or gate) with a latch.,A metal bar with a catch and lever used for fastening a door or gate.,Old English læcce 'fastening.',He latched the gate behind him.,Old English
latent,Rare,,Existing but not yet developed or manifest; hidden or concealed.,,"From Latin latent- 'lying hidden', from the verb latere.",,Latin
lecher,Rare,noun,A lecherous man.,,"From Old French lechier 'to lick, live in debauchery', from lecher 'to lick'.",,French
legerdemain,Exotic,noun,Skillful use of one's hands when performing conjuring tricks.,Clever trickery or deceptive maneuvering in politics or business,From French léger de main ‘light of hand’.,The magician's legerdemain amazed the audience.,French
lively,Uncommon,adjective,Full of life and energy.,Full of life and energy; active and outgoing.,Old English līflic 'living.',The market was lively with activity.,Old English
lofty,Uncommon,adjective,Of imposing height.,,"From Old Norse lopt 'air, sky.'",The cathedral has lofty ceilings.,Other
lore,Uncommon,,"A body of traditions and knowledge on a subject or held by a particular group, typically passed from person to person by word of mouth.",,"From Old English lār 'teaching, doctrine', of Germanic origin.",,Old English
lucid,Rare,adjective,Expressed clearly; easy to understand.,Having full use of ones mental faculties; sane,"From Latin lucidus, from lucere ‘shine’.",She gave a lucid account of the events.,Latin
luddite,Rare,noun,a person opposed to new technology or ways of working,A person opposed to new technology or ways of working.,"From the Luddites, 19th-century English workers who destroyed machinery that threatened their jobs.",The office luddite refused to use the new computer system.,Other
lugubrious,Exotic,adjective,Looking or sounding sad and dismal.,Characterized by excessive or exaggerated sadness,"From Latin lugubris ""mournful"", from lugere ""to mourn"".",The funeral was marked by lugubrious music and weeping.,Latin
lurk,Uncommon,verb,Remain hidden so as to wait in ambush.,Be or remain hidden so as to wait in ambush for someone or something.,Middle English lorken 'to lie hidden.',The cat would lurk in the shadows.,Other
luscious,Rare,,"Having a pleasingly rich, sweet taste.",,,,
malignant,Rare,,Malevolent.,,"From Latin malignant- 'acting from malice', from the verb malignare.",,Latin
maneouver,Uncommon,,A movement or series of moves requiring skill and care.,,"From French manœuvre, from medieval Latin manuopera 'manual work', from manus 'hand' + operari 'to work'.",,French/Latin
martinet,Exotic,,"A strict disciplinarian, especially in the armed forces.",,"Named after Jean Martinet, a 17th-century French army officer known for his strict discipline.",,French
meadow,Uncommon,noun,"A piece of grassland, especially one used for hay.",,Old English mǣdwe 'meadow.',Cows grazed in the meadow.,Old English
mellifluous,Rare,adjective,(Of a voice or words) sweet or musical; pleasant to hear.,Having a smooth rich flow (especially of sound),"From Latin mellifluus, from mel ‘honey’ + fluere ‘to flow’.",She spoke in a mellifluous voice that captivated the audience.,Latin
mellow,Uncommon,adjective,Pleasingly smooth or soft; free from harshness.,"Soft, rich, and full-flavored.","From Old English melu 'meal, flour.'",The wine had a mellow flavor.,Old English
mendacious,Exotic,adjective,Not telling the truth; lying.,Given to or characterized by lying,"From Latin mendax, mendac- ‘lying’.",Mendacious politicians are nothing new.,Latin
menial,Rare,,"Unskilled work, especially domestic work such as cleaning.",,"From Anglo-Norman French menial 'belonging to a household', from meine 'household', from Latin mansio 'dwelling'.",,French/Latin
mirth,Uncommon,noun,"Amusement, especially as expressed in laughter.",,"Old English myrgth 'joy, pleasure.'",The room was filled with the mirth of children.,Old English
misanthrope,Rare,noun,A person who dislikes humankind and avoids human society.,A person who hates or distrusts humankind,"From Greek misanthrōpos, from misein ‘to hate’ + anthrōpos ‘man’.",The old man was a misanthrope who lived alone.,Greek
mote,Uncommon,,A tiny piece of substance; a speck.,,"From Old English mot 'speck, particle'.",,Old English
multitude,Rare,,A large number of people or things.,,"From Latin multitudo, from multus 'many'.",,Latin
murmur,Uncommon,verb,"Say something in a low, soft, or indistinct voice.",A low continuous background noise.,From Latin murmurare 'to murmur.',She murmured a reply.,Latin
myopic,Rare,adjective,lacking foresight or intellectual insight,"Lacking imagination, foresight, or intellectual insight.","From Greek myōpia, from myōps ""short-sighted"", from myein ""to shut"" + ōps ""eye"".",The myopic policy focused on short-term gains while ignoring long-term consequences.,Greek
myriad,Uncommon,,A countless or extremely great number.,,"From Greek murias, muriad- 'ten thousand'.",,Greek
nefarious,Rare,adjective,(Typically of an action or activity) wicked or criminal.,Utterly wicked or evil,"From Latin nefarius, from nefas ‘wrong, crime’.",The nefarious activities of the organized-crime syndicates were widely reported.,Latin
neophyte,Rare,noun,"A person who is new to a subject, skill, or belief.",A person newly converted to a belief,From Greek neophutos ‘newly planted’.,"As a neophyte, she still had much to learn.",Greek
nifty,Uncommon,adjective,"Particularly good, skillful, or effective.",,Origin unknown.,That's a nifty gadget!,Other
nimble,Uncommon,adjective,Quick and light in movement or action.,Quick and light in movement or action; agile.,Old English nǣmel 'quick to seize.',The cat was nimble as it leapt onto the wall.,Old English
nonchalance,Uncommon,,The trait of remaining calm and seeming not to care; casual lack of concern.,,"From French nonchalance, from nonchalant 'unconcerned', from non- 'not' + chaloir 'to concern', from Latin calere 'be warm'.",,French/Latin
notion,Uncommon,noun,A conception of or belief about something.,,From Latin notio 'idea.',She had a notion to try skydiving.,Latin
nucleus,Rare,,"The central and most important part of an object, movement, or group, forming the basis for its activity and growth.",,,,
nudge,Uncommon,verb,Prod (someone) gently with one's elbow.,A light touch or push.,Origin unknown.,He nudged me and pointed to the sign.,Other
numinous,Rare, adjective ,having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity.,"From Latin numinosus, from numen ""divine power"".",The cathedral's interior evoked a numinous feeling in visitors.,Latin
obdurate,Rare,adjective, Stubbornly refusing to change one's opinion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Impervious to persuasion, especially to moral persuasion","From Latin obduratus ""hardened"", past participle of obdurare ""to harden"".",,Latin
obdurate,Exotic,adjective,Stubbornly refusing to change one's opinion or course of action.,"Impervious to persuasion, especially to moral persuasion","From Latin obduratus, past participle of obdurare ‘harden’.","He remained obdurate, refusing to alter his decision.",Latin
obfuscate,Rare,verb,"To render obscure, unclear, or unintelligible.",To make so confused or opaque as to be difficult to perceive or understand,"From Latin obfuscat-, ‘darkened’, from the verb obfuscare.",The report was written in a way that would obfuscate the real issues.,Latin
oblique,Rare, adjective ,"not straightforward, indirect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",Neither parallel nor at a right angle to a specified or implied line; slanting.,"From Latin obliquus ""slanting, sidelong, indirect"".",She made an oblique reference to the scandal without naming names.,Latin
obsequious,Exotic,adjective,Obedient or attentive to an excessive or servile degree.,Characterized by excessive flattery and servile compliance.,"From Latin obsequiosus, from obsequium ‘compliance’.",The waiter's obsequious manner was a bit much for the guests.,Latin
obstreperous,Exotic,adjective,Noisy and difficult to control.,,"From Latin obstreperus, from ob- ‘against’ + strepere ‘make a noise’.",The obstreperous crowd refused to settle down despite repeated warnings.,Latin
ogle,Uncommon,verb,Stare at in a lecherous manner.,,From Low German oeglen 'look at.',He ogles the desserts in the bakery window.,Other
orotund,Exotic,adjective,"(Of the voice or speech) full, round, and imposing; pompous.","Characterized by strength, fullness, and clarity of sound.","From Latin ore rotundo ""with round mouth"", from os, or- ""mouth"" + rotundus ""round"".",The orotund voice of the opera singer filled the concert hall.,Latin
ostensible,Rare,adjective,"Stated or appearing to be true, but not necessarily so.",,"From French ostensible, from Latin ostendere ‘to show’.",The ostensible reason for his visit was to see his parents.,Latin
ostentatious,Rare,adjective,Characterized by vulgar or pretentious display; designed to impress or attract notice.,,"From French ostentatieux, from Latin ostentatio(n-) ""display"", from the verb ostentare, frequentative of ostendere ""to show"".",Their ostentatious displays of wealth alienated their neighbors.,Latin
ostracize,Rare,verb,Exclude (someone) from a society or group.,,"From Greek ostrakizein, from ostrakon ""tile, potsherd"" (used as a voting tablet).",The group would ostracize anyone who violated their unwritten rules.,Greek
palimpsest,Exotic,noun,A manuscript or piece of writing material on which the original writing has been effaced to make room for later writing but of which traces remain.,An object bearing visible traces of earlier forms or iterations.,"From Greek palimpsēstos, from palin ""again"" + psēstos ""rubbed smooth"".",The ancient palimpsest revealed earlier texts beneath the visible writing.,Greek
palpable,Rare,adjective,(Of a feeling or atmosphere) so intense as to seem almost tangible.,Able to be touched or felt.,"From late Latin palpabilis, from palpare ‘to feel’.",There was a palpable sense of relief in the room.,Latin
panacea,Rare,noun,A solution or remedy for all difficulties or diseases.,A remedy for all ills or difficulties,"From Greek panakeia, from pan ‘all’ + akos ‘remedy’.",There is no single panacea for the world's economic problems.,Greek
pantheon,Rare,noun,"All the gods of a people or religion collectively; a temple dedicated to all the gods; a group of particularly respected, famous, or important people.",All the gods of a people or religion collectively.,"From Greek pantheion ""temple of all the gods"", from pan ""all"" + theion ""of the gods"".",The writer had earned a place in the pantheon of great American authors.,Greek
paradox,Uncommon,,A seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well founded or true.,,"From Latin paradoxum, from Greek paradoxon 'contrary to expectation', from para- 'distinct from' + doxa 'opinion'.",,Greek
paragon,Rare,noun,A person or thing regarded as a perfect example of a particular quality.,A perfect diamond of 100 carats or more,"From Old French paragon, from Italian paragone ‘touchstone’.",She is a paragon of virtue.,French
pariah,Rare,noun,An outcast; a person who is rejected from society or home.,An outcast.,"From Tamil paraiyar, plural of paraiyan ""drummer"" (as the name of a caste of low status).","After the scandal, he became a pariah in the business community.",Tamil
parochial,Exotic,adjective,Having a limited or narrow outlook or scope; relating to a church parish.,Limited in range or scope; narrow and restricted in outlook.,"From Late Latin parochialis, from parochia ""parish"", from Greek paroikia ""dwelling beside or near"".",Her parochial outlook prevented her from appreciating foreign customs.,Greek
pastiche,Rare,noun,"An artistic work in a style that imitates that of another work, artist, or period.",,"From French, from Italian pasticcio, from pasta ""paste"".",The film was a pastiche of noir detective movies from the 1940s.,French
patois,Exotic,noun,A regional dialect of a language; jargon or cant.,The specialized vocabulary of a particular profession or group,"From French, literally ""rough speech"", from Old French patoier ""to handle clumsily"", from pate ""paw"".",She spoke in the local patois that few outsiders could understand.,French
pedantic,Rare, adjective ,Excessively concerned with minor details and rules or with displaying academic learning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Overly concerned with minute details or formalisms, especially in teaching.","From French pédantique, from Italian pedante ""teacher, schoolmaster"".",The pedantic professor corrected every minor error in his students' papers.,French
pejorative,Rare,adjective,Expressing contempt or disapproval.,,"From French péjoratif, from Latin pejorare ""to make worse"", from pejor ""worse"".",She objected to the pejorative terms used to describe immigrants.,Latin
penchant,Rare,noun,A strong or habitual liking for something or tendency to do something.,A strong and continued inclination,From French penchant ‘leaning’.,She has a penchant for chocolate.,French
pensive,Uncommon,,"Engaged in, involving, or reflecting deep or serious thought.",,"From Old French pensif, from penser 'to think', from Latin pensare 'to weigh, consider'.",,French/Latin
penultimate,Rare,,Last but one in a series of things; second to last.,,"From Latin paenultimus, from paene 'almost' + ultimus 'last'.",,Latin
penury,Rare,noun,Extreme poverty; destitution.,,"From Latin penuria ""want, need, scarcity"".",The once-wealthy family had fallen into penury after bad investments.,Latin
perdition,Exotic,noun,A state of eternal punishment and damnation into which a sinful and unpenitent person passes after death.,A state of eternal punishment and damnation into which a sinful and unrepentant person passes after death.,"From Latin perditio(n-), from perdere ""to destroy"", from per- ""completely"" + dare ""to give"".",The preacher warned that sinners would face eternal perdition.,Latin
peremptory,Exotic,adjective,"Insisting on immediate attention or obedience, especially in a brusquely imperious way.",Leaving no opportunity for denial or refusal; imperative.,"From Latin peremptorius ""deadly, decisive"", from perempt- ""destroyed"", from the verb perimere, from per- ""completely"" + emere ""take, buy"".",The teacher silenced the class with a peremptory gesture.,Latin
perfidious,Rare,adjective, Deceitful and untrustworthy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Deceitful and untrustworthy.,"From Latin perfidiosus, from perfidia ""treachery"", from perfidus ""faithless"", from per- ""through"" + fides ""faith"".",The perfidious advisor betrayed the king's confidence.,Latin
perpetual,Uncommon,,Never ending or changing.,,"From Latin perpetualis, from perpetuus 'continuing throughout', from perpes 'continuous'.",,Latin
perspicacity,Exotic,noun,A ready insight into and understanding of things.,Keen mental perception and understanding; discernment.,"From Latin perspicax, perspicac- ‘seeing clearly’.",Her perspicacious mind quickly grasped the complexities of the problem.,Latin
peruse,Rare,,"Read (something), typically in a thorough or careful way.",,"From Middle English perusen 'to use up', from per- 'thoroughly' + usen 'use'.",,Middle English
pervade,Uncommon,,Spread through and be perceived in every part of.,,"From Latin pervadere 'go through', from per- 'throughout' + vadere 'go'.",,Latin
philistine,Exotic,noun,"A person who is hostile or indifferent to culture and the arts, or who has no understanding of them.",A person who is hostile or indifferent to culture and the arts.,"From Philistine, a member of an ancient people of southern Palestine, regarded in the Bible as hostile to the Israelites.",Art critics dismissed him as a philistine for his conventional tastes.,Other
piquancy,Exotic,noun,The quality of being pleasantly stimulating or exciting.,A pleasantly sharp and appetizing flavor.,"From French piquant ""pricking"", present participle of piquer ""to prick"".",The chef added spices to give piquancy to the otherwise bland dish.,French
placate,Rare, adjective ,make someone less angry or hostile,To make someone less angry or hostile.,"From Latin placatus, past participle of placare ""to calm, appease"".",The manager offered a bonus to placate the disgruntled employees.,Latin
plaudit,Rare,,An expression of praise or approval.,,"From Latin plaudite 'applaud!', second person plural imperative of plaudere.",,Latin
plenum,Exotic,,A space completely filled with matter.,,,,
plucky,Uncommon,adjective,Having or showing determined courage.,Having or showing determined courage in the face of difficulties.,From pluck 'courage.',The plucky puppy barked at the bigger dog.,Other
plummet,Uncommon,,Fall or drop straight down at high speed.,,"From Old French plommet 'little weight', diminutive of plom 'lead weight', from Latin plumbum 'lead'.",,French/Latin
plush,Uncommon,adjective,Richly luxurious and expensive.,Luxurious.,From French peluche 'plush.',They stayed in a plush hotel.,French
ponder,Uncommon,verb,Think about something carefully.,"Think about (something) carefully, especially before making a decision or reaching a conclusion.","From Latin ponderare 'weigh, consider.'",He sat to ponder the meaning of life.,Latin
portent,Rare,noun,"A sign or warning that something, especially something momentous or calamitous, is likely to happen.",,"From Latin portentum ""omen, token"", from portendere ""to foretell"".",The dark clouds were a portent of the storm to come.,Latin
potentate,Exotic,noun,"A monarch or ruler, especially an autocratic one.","A person wielding great power or authority, especially a sovereign.","From late Latin potentatus ""political power"", from Latin potens, potent- ""powerful"".","The local potentate ruled with an iron fist, brooking no opposition.",Latin
prance,Uncommon,verb,Move with high springy steps.,"Walk or move around with ostentatious, exaggerated movements.",From Middle English prauncen.,The horse pranced around the field.,Other
premontory,Exotic,,A point of high land that juts out into the sea or a lake; a headland.,,,,
presage,Rare,verb,"Be a sign or warning of (an imminent event, typically an unwelcome one).",,"From Latin praesagium, from praesagire ""to forebode"", from prae ""before"" + sagire ""perceive keenly"".",The market decline seemed to presage a broader economic downturn.,Latin
promulgation,Exotic,,The promotion or publication of a doctrine or practice.,,,,
propitious,Rare,adjective,Giving or indicating a good chance of success; favorable.,,"From Latin propitius ""favorable"".",The propitious economic conditions favored new business ventures.,Latin
prosaic,Rare,adjective,Having the style or diction of prose; lacking poetic beauty; commonplace; unromantic.,Having the style or diction of prose; lacking poetic beauty.,"From Latin prosaicus, from prosa ""prose"".","He described his daily commute in prosaic terms, without embellishment.",Latin
prurient,Exotic,adjective,"having or encouraging an excessive interest in sexual matters, especially the sexual activity of others",Having or encouraging an excessive interest in sexual matters.,"From Latin prurient- ""itching, longing"", from the verb prurire.",The tabloid catered to prurient interests with its sensational stories.,Latin
puerile,Exotic,adjective,Childishly silly and trivial.,"Displaying immaturity in reasoning, taste, or judgment.","From Latin puerilis, from puer ""child"".",The comedian's puerile jokes failed to amuse the sophisticated audience.,Latin
pugilist,Exotic,noun,"A boxer, especially a professional one.",A professional boxer or fighter.,"From Latin pugil ""boxer"", related to pugnus ""fist"".",The retired pugilist still trained young boxers at the gym.,Latin
pugnacious,Exotic,adjective,"Eager or quick to argue, quarrel, or fight.","Characterized by aggressive, combative behavior.","From Latin pugnax, pugnac- ""combative"", from pugnare ""to fight"".",The pugnacious debater challenged every point made by his opponents.,Latin
pulchritude,Exotic,noun,The quality of being physically beautiful or attractive (specifically about physical appearance),Physical attractiveness that captivates the aesthetic senses.,"From Latin pulchritudo, from pulcher ‘beautiful’.",The pulchritude of the landscape left us speechless.,Latin
pulpit,Rare,,A raised platform or lectern in a church or chapel from which the preacher delivers a sermon.,,"From Latin pulpitum 'platform, staging'.",,Latin
punctual,Uncommon,,Happening or doing something at the agreed or proper time; on time.,,"From medieval Latin punctualis, from Latin punctum 'point'.",,Latin
putative,Rare,adjective,generally considered or reputed to be,Generally considered or reputed to be.,"From Latin putativus, from putare ""to consider, suppose"".",The putative heir to the fortune was actually unrelated to the deceased.,Latin
quaint,Uncommon,adjective,Attractively unusual or old-fashioned.,,"From Old French cointe 'clever, cunning.'",They stayed in a quaint little village.,French
quandary,Rare,noun,A state of perplexity or uncertainty over what to do in a difficult situation.,A puzzling predicament,"Origin unknown, first recorded in the late 16th century.",She was in a quandary about whether to accept the offer.,Other
querulous,Rare,adjective,Complaining in a petulant or whining manner.,Given to complaining; peevish,"From Latin querulus, from queri ‘to complain’.",The querulous old woman was never satisfied.,Latin
quiescent,Rare,adjective,In a state or period of inactivity or dormancy.,,"From Latin quiescent-, from quiescere ‘be quiet’.",The volcano had been quiescent for centuries.,Latin
quirk,Uncommon,noun,A peculiar behavioral habit.,,Origin unknown.,He has a quirk of tapping his foot.,Other
quiver,Uncommon,verb,Tremble or shake with a slight rapid motion.,,Middle English quiveren 'to tremble.',Her hands quivered with excitement.,Other
quixotic,Rare,adjective,Exceedingly idealistic; unrealistic and impractical.,Caught up in the romance of noble deeds and the pursuit of unreachable goals,"From Don Quixote, the hero of a romance by Cervantes, noted for his idealism and chivalrous but impractical behavior.",His plans to build a utopia were as quixotic as they were ambitious.,Other
